what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.7.0_03",1334779005534
java.vm.info,sysinfo,,,"mixed mode, sharing",1334779005535
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1334779005535
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334779005535
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1334779005535
java.vm.specification.version,sysinfo,,,"1.7",1334779005535
java.vm.vendor,sysinfo,,,"Oracle Corporation",1334779005535
java.vm.version,sysinfo,,,"22.1-b02",1334779005535
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1334779005953
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1334779005954
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1334779006037
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334779017781
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334779023273
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334779023480
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1334779024198
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334779024472
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334779024726
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1334779031117
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1334779031207
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334779031351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1334779039167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1334779053830
